habitate_score,difficulty_score,suitability_score,repo_id,file_changes,additions,deletions,net_change,test_additions,non_test_additions,is_merge,has_dependency_changes,test_coverage_score,is_behavior_preserving_refactor,commit_month,commit_dow,multi_file,cross_directory,many_directories,has_core_files,large_single_file,multiple_high_additions,directory_count,test_file_count,non_test_file_count,single_file_200plus,multi_file_300plus,has_test_changes,status
49,30.0,55.0,16,10,978,9,969,850,128,0,0,0.87,0,10,6,1,1,0,1,0,0,3,0,0,0,0,1,paid_out
0,10.0,25.0,16,1,1,5,-4,0,1,0,0,0.0,0,9,6,0,0,0,1,0,0,1,0,0,0,0,0,too_easy
10,10.0,25.0,16,2,11,13,-2,0,11,0,0,0.0,0,4,2,0,0,0,1,0,0,1,0,0,0,0,0,too_easy
38,20.0,25.0,16,5,78,12,66,19,59,0,0,0.24,0,4,2,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
18,30.0,25.0,16,2,14,5,9,3,11,0,0,0.21,0,4,2,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
18,30.0,25.0,16,2,11,4,7,1,10,0,0,0.09,0,2,3,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,20.0,40.0,16,5,20,19,1,16,4,0,0,0.8,0,2,3,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,20.0,40.0,16,2,99,0,99,94,5,0,0,0.95,0,2,2,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,10.0,25.0,16,1,2,2,0,0,2,0,0,0.0,0,12,4,0,0,0,1,0,0,1,0,0,0,0,0,too_easy
0,20.0,40.0,16,2,4,4,0,2,2,0,0,0.5,0,10,4,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,20.0,25.0,16,1,6,3,3,0,6,0,0,0.0,0,10,3,0,0,0,1,0,0,1,0,0,0,0,0,too_easy
105,50.0,0.0,16,13,1065,443,622,0,1065,0,1,0.0,0,9,3,1,1,0,1,0,0,3,0,0,0,0,0,paid_out
0,10.0,25.0,16,1,8,1,7,0,8,0,0,0.0,0,8,0,0,0,0,1,0,0,1,0,0,0,0,0,paid_out
0,10.0,25.0,16,1,1,1,0,0,1,0,0,0.0,0,6,4,0,0,0,1,0,0,1,0,0,0,0,0,too_easy
50,20.0,35.0,16,5,406,20,386,87,319,0,0,0.21,0,5,2,1,0,0,1,0,0,1,0,0,0,0,1,paid_out
35,20.0,40.0,16,4,115,62,53,0,115,0,0,0.0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,paid_out
0,20.0,25.0,16,2,13,12,1,6,7,0,0,0.46,0,2,3,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,20.0,40.0,16,5,120,17,103,119,1,0,0,0.99,0,5,1,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
8,30.0,25.0,16,2,9,4,5,3,6,0,0,0.33,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
69,45.0,0.0,16,14,84,148,-64,4,80,0,1,0.05,0,1,0,1,1,0,1,0,0,4,0,0,0,0,1,too_easy
20,20.0,25.0,16,1,15,5,10,0,15,0,0,0.0,0,12,6,0,0,0,1,0,0,1,0,0,0,0,0,too_easy
28,30.0,25.0,16,3,13,29,-16,0,13,0,0,0.0,0,12,5,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
18,30.0,25.0,16,2,4,1,3,1,3,0,0,0.25,0,11,1,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
36,20.0,55.0,16,6,323,7,316,299,24,0,0,0.93,0,9,6,1,0,0,1,0,0,2,0,0,0,0,1,paid_out
2,20.0,40.0,16,3,288,34,254,254,34,0,0,0.88,0,8,1,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,20.0,40.0,16,2,117,1,116,116,1,0,0,0.99,0,8,1,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,0.0,25.0,16,1,1,1,0,0,1,0,0,0.0,0,8,4,0,0,0,0,0,0,1,0,0,0,0,0,too_easy
0,30.0,40.0,16,2,8,1,7,5,3,0,0,0.63,0,8,0,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
10,10.0,25.0,16,3,6,15,-9,0,6,0,0,0.0,0,6,2,0,0,0,1,0,0,1,0,0,0,0,0,too_easy
71,30.0,40.0,16,7,25,10,15,1,24,0,0,0.04,0,6,2,1,0,0,1,0,0,2,0,0,0,0,1,too_easy
8,30.0,25.0,16,2,5,2,3,2,3,0,0,0.4,0,5,3,0,0,0,1,0,0,1,0,0,0,0,1,paid_out
0,30.0,40.0,16,2,9,2,7,6,3,0,0,0.67,0,5,1,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
3,30.0,40.0,16,3,12,2,10,6,6,0,0,0.5,0,5,1,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,30.0,40.0,16,3,23,5,18,14,9,0,0,0.61,0,4,3,0,0,0,1,0,0,1,0,0,0,0,1,paid_out
14,30.0,25.0,16,3,304,89,215,144,160,0,0,0.47,0,4,5,0,0,0,1,0,0,2,0,0,0,0,1,too_easy
0,20.0,40.0,16,2,63,1,62,59,4,0,0,0.94,0,4,5,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
41,20.0,55.0,16,6,97,10,87,73,24,0,0,0.75,0,4,5,1,0,0,1,0,0,2,0,0,0,0,1,too_easy
0,20.0,40.0,16,2,4,1,3,3,1,0,0,0.75,0,4,5,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
2,30.0,40.0,16,3,491,92,399,441,50,0,0,0.9,0,4,5,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
47,20.0,65.0,16,10,3401,50,3351,3190,211,0,0,0.94,0,4,5,1,0,0,1,0,0,1,0,0,0,0,1,paid_out
0,10.0,0.0,16,3,9,1,8,8,1,0,1,0.89,0,4,5,0,0,0,0,0,0,0,0,0,0,0,1,paid_out
63,30.0,40.0,16,6,132,54,78,3,129,0,0,0.02,0,8,2,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
18,10.0,25.0,16,1,0,1,-1,0,0,0,0,0.0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,1,paid_out
14,20.0,40.0,16,6,247,13,234,200,47,0,0,0.81,0,8,0,1,0,0,1,0,0,2,0,0,0,0,1,paid_out
0,20.0,40.0,16,4,200,5,195,184,16,0,0,0.92,0,8,0,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,10.0,0.0,16,3,4,11,-7,3,1,0,1,0.75,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,too_easy
43,30.0,55.0,16,9,1499,10,1489,1430,69,0,0,0.95,0,6,3,1,1,0,1,0,0,3,0,0,0,0,1,paid_out
35,20.0,55.0,16,7,570,4,566,547,23,0,0,0.96,0,4,0,1,0,0,1,0,0,2,0,0,0,0,1,paid_out
43,20.0,55.0,16,10,151,16,135,103,48,0,0,0.68,0,4,3,1,0,0,1,0,0,2,0,0,0,0,1,paid_out
15,20.0,25.0,16,4,70,35,35,32,38,0,0,0.46,0,4,3,1,0,0,1,0,0,1,0,0,0,0,1,paid_out
3,30.0,40.0,16,2,4,1,3,2,2,0,0,0.5,0,3,4,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
8,20.0,25.0,16,3,14,9,5,4,10,0,0,0.29,0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
8,20.0,25.0,16,2,11,8,3,2,9,0,0,0.18,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
8,30.0,25.0,16,2,7,3,4,2,5,0,0,0.29,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
6,30.0,40.0,16,3,190,45,145,142,48,0,0,0.75,0,8,0,0,0,0,1,0,0,2,0,0,0,0,1,paid_out
9,20.0,55.0,16,6,36,7,29,29,7,0,0,0.81,0,8,0,1,0,0,1,0,0,2,0,0,0,0,1,too_easy
0,20.0,40.0,16,2,29,3,26,27,2,0,0,0.93,0,8,2,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
8,20.0,25.0,16,3,5,4,1,2,3,0,0,0.4,0,7,5,0,0,0,1,0,0,2,0,0,0,0,1,too_easy
43,20.0,55.0,16,8,188,4,184,129,59,0,0,0.69,0,7,3,1,0,0,1,0,0,2,0,0,0,0,1,paid_out
16,20.0,55.0,16,8,216,5,211,200,16,0,0,0.93,0,6,2,1,0,0,1,0,0,2,0,0,0,0,1,paid_out
38,30.0,25.0,16,3,38,106,-68,15,23,0,0,0.39,0,3,1,0,0,0,1,0,0,1,0,0,0,0,1,paid_out
10,10.0,25.0,16,1,45,39,6,0,45,0,0,0.0,0,2,3,0,0,0,1,0,0,1,0,0,0,0,0,too_easy
53,20.0,40.0,16,5,17,17,0,1,16,0,0,0.06,0,2,3,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
46,30.0,55.0,16,8,71,46,25,41,30,0,0,0.58,0,2,5,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
53,20.0,0.0,16,7,56,506,-450,1,55,0,1,0.02,0,2,4,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
11,20.0,40.0,16,5,203,31,172,183,20,0,0,0.9,0,2,4,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
8,20.0,25.0,16,3,4,7,-3,1,3,0,0,0.25,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,20.0,40.0,16,2,35,1,34,27,8,0,0,0.77,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
18,20.0,25.0,16,4,10,24,-14,4,6,0,0,0.4,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
18,20.0,25.0,16,2,5,0,5,1,4,0,0,0.2,0,11,0,0,0,0,1,0,0,1,0,0,0,0,1,paid_out
0,20.0,40.0,16,2,3,1,2,2,1,0,0,0.67,0,11,0,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
3,20.0,40.0,16,2,2,0,2,1,1,0,0,0.5,0,11,6,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
29,30.0,55.0,16,7,185,270,-85,154,31,0,0,0.83,0,10,5,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,10.0,40.0,16,1,1,1,0,1,0,0,0,1.0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,1,too_easy
8,20.0,25.0,16,3,7,5,2,2,5,0,0,0.29,0,9,2,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
18,20.0,25.0,16,2,8,1,7,2,6,0,0,0.25,0,9,1,0,0,0,1,0,0,1,0,0,0,0,1,paid_out
53,30.0,40.0,16,6,101,69,32,1,100,0,0,0.01,0,9,1,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,10.0,40.0,16,3,106,139,-33,106,0,0,0,1.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,too_easy
61,20.0,40.0,16,9,81,190,-109,7,74,0,0,0.09,0,9,0,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,20.0,40.0,16,2,3,1,2,2,1,0,0,0.67,0,8,0,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
51,25.0,40.0,16,16,103,103,0,0,103,0,0,0.0,0,6,5,1,0,0,1,0,0,2,0,0,0,0,0,too_easy
51,20.0,55.0,16,8,58,5,53,39,19,0,0,0.67,0,5,3,1,0,0,1,0,0,1,0,0,0,0,1,paid_out
17,30.0,40.0,16,5,56,11,45,40,16,0,0,0.71,0,5,1,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
35,20.0,55.0,16,7,1473,7,1466,1417,56,0,0,0.96,0,1,4,1,0,0,1,0,0,1,0,0,0,0,1,paid_out
18,30.0,25.0,16,3,9,6,3,1,8,0,0,0.11,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
8,30.0,25.0,16,3,4,76,-72,1,3,0,0,0.25,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,10.0,0.0,16,3,401,0,401,399,2,0,1,1.0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,1,too_easy
8,20.0,40.0,16,5,54,30,24,37,17,0,0,0.69,0,12,3,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,20.0,40.0,16,2,58,1,57,57,1,0,0,0.98,0,12,2,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
34,20.0,55.0,16,6,1389,3,1386,1361,28,0,0,0.98,0,10,1,1,0,0,1,0,0,1,0,0,0,0,1,paid_out
0,20.0,40.0,16,3,298,4,294,294,4,0,0,0.99,0,6,5,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,30.0,40.0,16,3,119,3,116,113,6,0,0,0.95,0,6,5,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,10.0,0.0,16,16,120561,42417,78144,120560,1,0,1,1.0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,1,too_easy
38,20.0,55.0,16,7,639,19,620,552,87,0,0,0.86,0,5,2,1,0,0,1,0,0,1,0,0,0,0,1,paid_out
0,20.0,40.0,16,2,42,1,41,41,1,0,0,0.98,0,4,3,0,0,0,1,0,0,1,0,0,0,0,1,paid_out
0,20.0,40.0,16,2,6,0,6,4,2,0,0,0.67,0,4,0,0,0,0,1,0,0,1,0,0,0,0,1,paid_out
38,20.0,25.0,16,2,37,4,33,4,33,0,0,0.11,0,3,1,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
63,30.0,40.0,16,7,110,38,72,23,87,0,0,0.21,0,2,2,1,0,0,1,0,0,1,0,0,0,0,1,paid_out
48,30.0,55.0,16,5,198,33,165,99,99,0,0,0.5,0,2,1,1,0,0,1,0,0,1,0,0,0,0,1,paid_out
28,20.0,25.0,16,4,15,18,-3,3,12,0,0,0.2,0,2,3,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,10.0,25.0,16,1,9,2,7,0,9,0,0,0.0,0,2,4,0,0,0,1,0,0,1,0,0,0,0,0,paid_out
9,20.0,40.0,16,6,43,42,1,28,15,0,0,0.65,0,2,3,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
53,20.0,40.0,16,7,24,47,-23,7,17,0,0,0.29,0,2,3,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
12,20.0,40.0,16,4,65,22,43,35,30,0,0,0.54,0,12,2,1,0,0,1,0,0,1,0,0,0,0,1,paid_out
8,20.0,25.0,16,2,1,2,-1,0,1,0,0,0.0,0,12,0,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
18,30.0,25.0,16,3,8,3,5,2,6,0,0,0.25,0,9,3,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
53,20.0,40.0,16,6,69,173,-104,0,69,0,0,0.0,0,9,6,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,30.0,40.0,16,2,41,2,39,38,3,0,0,0.93,0,9,6,0,0,0,1,0,0,1,0,0,0,0,1,paid_out
34,30.0,55.0,16,8,806,14,792,784,22,0,0,0.97,0,9,1,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,20.0,40.0,16,2,146,2,144,145,1,0,0,0.99,0,9,0,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
43,20.0,55.0,16,7,578,5,573,543,35,0,0,0.94,0,9,0,1,0,0,1,0,0,1,0,0,0,0,1,paid_out
36,30.0,55.0,16,5,832,21,811,772,60,0,0,0.93,0,9,0,1,0,0,1,0,0,1,0,0,0,0,1,paid_out
11,20.0,40.0,16,4,583,12,571,533,50,0,0,0.91,0,9,0,1,0,0,1,0,0,1,0,0,0,0,1,paid_out
38,20.0,55.0,16,7,392,10,382,339,53,0,0,0.86,0,9,0,1,0,0,1,0,0,1,0,0,0,0,1,paid_out
23,10.0,40.0,16,6,11,8,3,0,11,0,0,0.0,0,8,1,1,0,0,1,0,0,2,0,0,0,0,0,too_easy
28,30.0,25.0,16,2,18,92,-74,2,16,0,0,0.11,0,8,0,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,20.0,40.0,16,2,346,2,344,345,1,0,0,1.0,0,8,2,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
38,20.0,25.0,16,2,48,7,41,4,44,0,0,0.08,0,8,1,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
28,20.0,25.0,16,2,13,13,0,2,11,0,0,0.15,0,8,4,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,20.0,25.0,16,2,6,4,2,0,6,0,0,0.0,0,8,3,0,0,0,1,0,0,1,0,0,0,0,0,paid_out
0,30.0,40.0,16,3,106,5,101,97,9,0,0,0.92,0,6,3,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,20.0,40.0,16,2,3,1,2,2,1,0,0,0.67,0,6,1,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
28,20.0,25.0,16,4,18,30,-12,5,13,0,0,0.28,0,5,0,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
38,30.0,25.0,16,4,50,19,31,9,41,0,0,0.18,0,5,0,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,10.0,25.0,16,1,12,2,10,0,12,0,0,0.0,0,4,2,0,0,0,1,0,0,1,0,0,0,0,0,too_easy
10,20.0,40.0,16,3,92,34,58,56,36,0,0,0.61,0,2,2,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
38,30.0,25.0,16,4,33,20,13,7,26,0,0,0.21,0,2,1,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
36,20.0,55.0,16,7,318,8,310,290,28,0,0,0.91,0,2,1,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,0.0,25.0,16,1,9,1,8,0,9,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,too_easy
28,20.0,25.0,16,3,0,514,-514,0,0,0,0,0.0,0,1,4,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
53,20.0,40.0,16,5,70,135,-65,4,66,0,0,0.06,0,11,2,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,20.0,40.0,16,4,70,6,64,68,2,0,0,0.97,0,10,3,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,30.0,40.0,16,2,96,1,95,94,2,0,0,0.98,0,10,0,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
1,30.0,40.0,16,3,24,20,4,14,10,0,0,0.58,0,6,4,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,20.0,40.0,16,2,15,269,-254,14,1,0,0,0.93,0,6,4,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
28,20.0,25.0,16,2,40,33,7,10,30,0,0,0.25,0,6,4,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,30.0,40.0,16,3,28,6,22,18,10,0,0,0.64,0,6,4,0,0,0,1,0,0,1,0,0,0,0,1,paid_out
53,20.0,40.0,16,6,82,81,1,1,81,0,0,0.01,0,4,1,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
0,10.0,40.0,16,1,1928,2743,-815,1928,0,0,0,1.0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,paid_out
0,20.0,40.0,16,3,37,1,36,24,13,0,0,0.65,0,4,4,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
101,70.0,0.0,16,41,5385,4882,503,697,4688,1,1,0.13,0,3,2,1,1,1,1,0,0,5,0,0,0,0,1,too_easy
0,10.0,40.0,16,1,1,1,0,1,0,0,0,1.0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,too_easy
3,20.0,40.0,16,3,29,2,27,15,14,0,0,0.52,0,3,4,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
53,20.0,40.0,16,5,133,130,3,1,132,0,0,0.01,0,3,4,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
71,30.0,50.0,16,12,1628,1594,34,0,1628,0,0,0.0,0,3,4,1,0,0,1,0,0,1,0,0,0,0,0,too_easy
52,10.0,35.0,16,3,882,0,882,0,882,0,0,0.0,0,3,3,0,0,0,1,0,0,1,0,0,0,0,0,paid_out
9,10.0,40.0,16,2,44,17,27,28,16,0,0,0.64,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,too_easy
9,10.0,40.0,16,3,73,25,48,47,26,0,0,0.64,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,paid_out
13,20.0,40.0,16,4,75,31,44,38,37,0,0,0.51,0,3,2,1,0,0,0,0,0,0,0,0,0,0,1,too_easy
28,10.0,25.0,16,3,131,79,52,49,82,0,0,0.37,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,paid_out
93,40.0,45.0,16,2,1348,1393,-45,1,1347,1,0,0.67,0,3,1,0,0,0,0,1,0,0,0,0,0,0,1,too_easy
0,0.0,25.0,16,1,1,1,0,0,1,0,0,0.0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,paid_out
3,20.0,40.0,16,4,95,8,87,82,13,0,0,0.86,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,paid_out
11,10.0,40.0,16,3,152,161,-9,90,62,0,0,0.59,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,too_easy
24,20.0,25.0,16,3,95,56,39,46,49,0,0,0.48,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,too_easy
10,0.0,25.0,16,1,48,45,3,0,48,0,0,0.0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,too_easy
10,10.0,25.0,16,1,133,85,48,0,133,0,0,0.0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,paid_out
10,0.0,35.0,16,2,344,328,16,0,344,0,0,0.0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,paid_out
10,20.0,40.0,16,2,173,42,131,105,68,0,0,0.61,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,paid_out
0,10.0,40.0,16,3,121,2,119,104,17,0,0,0.86,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,too_easy
28,10.0,25.0,16,2,22,87,-65,1,21,0,0,0.05,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,too_easy
0,20.0,40.0,16,2,68,10,58,62,6,0,0,0.91,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,too_easy
10,0.0,25.0,16,1,32,29,3,0,32,0,0,0.0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,paid_out
6,20.0,40.0,16,2,348,55,293,259,89,0,0,0.74,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,too_easy
0,10.0,40.0,16,4,1225,1405,-180,1177,48,0,0,0.96,0,1,4,1,0,0,0,0,0,0,0,0,0,0,1,too_easy
18,20.0,40.0,16,2,66,8,58,45,21,0,0,0.68,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,too_easy
28,20.0,25.0,16,3,109,75,34,5,104,0,0,0.05,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,paid_out
0,20.0,40.0,16,2,38,1,37,36,2,0,0,0.95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,too_easy
28,10.0,25.0,16,3,84,78,6,1,83,0,0,0.01,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,paid_out
12,20.0,40.0,16,3,176,6,170,157,19,0,0,0.89,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,too_easy
20,10.0,40.0,16,3,163,32,131,98,65,0,0,0.6,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,too_easy
28,10.0,25.0,16,3,43,30,13,2,41,0,0,0.05,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,too_easy
51,25.0,50.0,17,16,262,830,-568,0,262,0,0,0.0,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,paid_out
0,30.0,40.0,17,2,19,1,18,17,2,0,0,0.89,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,too_easy
10,30.0,40.0,17,8,493,120,373,468,25,0,0,0.95,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,paid_out
40,20.0,40.0,17,8,69,94,-25,30,39,0,0,0.43,0,12,4,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
69,35.0,40.0,17,13,67,409,-342,0,67,0,0,0.0,0,12,5,1,0,0,1,0,0,1,0,0,0,0,1,paid_out
113,60.0,0.0,17,23,1156,701,455,60,1096,0,1,0.05,0,11,1,1,0,0,1,0,0,2,0,0,0,0,1,too_easy
81,45.0,0.0,17,25,98,45,53,36,62,0,1,0.37,0,11,4,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
20,20.0,40.0,17,4,70,8,62,42,28,0,0,0.6,0,10,2,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
43,20.0,55.0,17,28,1496,17,1479,1422,74,0,0,0.95,0,9,3,1,0,0,1,0,0,1,0,0,0,0,1,too_easy
